Time,Epoch,Train Loss,Validation Loss,MAE,MSE,R2
2025-02-27 16:01:25,1,0.1258186780173203,0.058752525597810745,26.605018615722656,784.8922729492188,-0.692729115486145
2025-02-27 16:01:25,2,0.05876592944922118,0.05704805379112562,24.78280258178711,676.076416015625,-0.4580526351928711
2025-02-27 16:01:26,3,0.05196848575925005,0.04045024265845617,17.165416717529297,433.3828125,0.06534981727600098
2025-02-27 16:01:26,4,0.0338121201714565,0.03168201105048259,8.301178932189941,133.9385528564453,0.711142897605896
2025-02-27 16:01:27,5,0.027915836729366202,0.02885915121684472,12.890307426452637,217.12432861328125,0.5317412614822388
2025-02-27 16:01:27,6,0.02730171555845902,0.026351206935942173,9.3961181640625,122.4553451538086,0.735908031463623
2025-02-27 16:01:28,7,0.02259886675867541,0.024616642389446497,9.273855209350586,111.60464477539062,0.7593090534210205
2025-02-27 16:01:28,8,0.020789666679398768,0.024170460024227697,6.504863262176514,82.11336517333984,0.8229111433029175
2025-02-27 16:01:29,9,0.019896334807934433,0.030205141752958298,15.176145553588867,291.1828308105469,0.3720237612724304
2025-02-27 16:01:29,10,0.021236686164449,0.0228158055494229,6.8932623863220215,72.74949645996094,0.8431056141853333
2025-02-27 16:01:30,11,0.01951144455835737,0.02473299081126849,7.887642860412598,115.91110229492188,0.7500216364860535
2025-02-27 16:01:30,12,0.020789034568287176,0.02270374718743066,5.793600559234619,59.42587661743164,0.8718398809432983
2025-02-27 16:01:31,13,0.018427229229489278,0.022948693639288347,7.391448020935059,91.2957534790039,0.8031080365180969
2025-02-27 16:01:31,14,0.0183318344362337,0.022720071642349165,7.672601699829102,93.55155944824219,0.7982430458068848
2025-02-27 16:01:31,15,0.018978052676237863,0.022966845116267603,8.130036354064941,106.26317596435547,0.7708287239074707
2025-02-27 16:01:32,16,0.017810564584516245,0.02331049523005883,7.145964622497559,82.91436004638672,0.8211836814880371
2025-02-27 16:01:32,17,0.018513121770630622,0.02264778719594081,8.777414321899414,116.81808471679688,0.7480655908584595
2025-02-27 16:01:33,18,0.018107647333165694,0.02365348084519307,7.887882709503174,125.93241882324219,0.7284092903137207
2025-02-27 16:01:33,19,0.01810489138909455,0.02547508788605531,12.467085838317871,185.57952880859375,0.5997719764709473
2025-02-27 16:01:34,20,0.019310997766924316,0.024019813785950344,6.377411365509033,101.8023452758789,0.7804490923881531
2025-02-27 16:01:34,21,0.01833232742702139,0.022684206254780293,8.142423629760742,95.90502166748047,0.7931675314903259
2025-02-27 16:01:35,22,0.017593127964385624,0.022460395858312648,6.1387176513671875,66.51658630371094,0.8565477728843689
2025-02-27 16:01:35,23,0.017635380881356782,0.022783376276493073,9.155659675598145,118.11785125732422,0.7452624440193176
2025-02-27 16:01:36,24,0.01761852073129909,0.022896244811515015,9.591938972473145,123.55393981933594,0.7335387468338013
2025-02-27 16:01:36,25,0.018017969672279113,0.02398043017213543,6.718773365020752,114.338134765625,0.7534139156341553
2025-02-27 16:01:37,26,0.01814949168855774,0.022111987850318354,7.189639568328857,94.58429718017578,0.7960158586502075
2025-02-27 16:01:37,27,0.017190740604338974,0.022778504217664402,10.826236724853516,147.7661895751953,0.6813216805458069
2025-02-27 16:01:38,28,0.017495194353677076,0.023915305733680725,8.330623626708984,137.30654907226562,0.7038793563842773
2025-02-27 16:01:38,29,0.018154808866052793,0.02384224534034729,11.009214401245117,150.28115844726562,0.6758978366851807
2025-02-27 16:01:38,30,0.017530634517556633,0.022603365282217663,10.099005699157715,143.92173767089844,0.6896127462387085
2025-02-27 16:01:39,31,0.01717201556111204,0.021995925965408485,6.724302768707275,99.13400268554688,0.7862037420272827
2025-02-27 16:01:39,32,0.017259487272079647,0.0246337012698253,13.248597145080566,207.75001525878906,0.5519582629203796
2025-02-27 16:01:40,33,0.017752174994555014,0.0216743938314418,6.677638053894043,97.1318588256836,0.7905216813087463
2025-02-27 16:01:40,34,0.01687487699733726,0.021425822128852207,7.578919410705566,96.3698959350586,0.7921649217605591
2025-02-27 16:01:41,35,0.017204588696617503,0.021740204654634,7.255024433135986,85.3973159790039,0.815828800201416
2025-02-27 16:01:41,36,0.01660422277476253,0.02171946146215002,6.592381954193115,88.97261047363281,0.8081182241439819
2025-02-27 16:01:42,37,0.01739307698504678,0.02302342529098193,7.729608535766602,134.64341735839844,0.7096227407455444
2025-02-27 16:01:42,38,0.0175143221136311,0.021418989325563114,6.805888652801514,79.5965805053711,0.8283389210700989
2025-02-27 16:01:43,39,0.01748000268406909,0.023095545669396717,11.082650184631348,163.81187438964844,0.6467169523239136
2025-02-27 16:01:43,40,0.016739667842871155,0.021073894730458658,6.822676181793213,107.82627868652344,0.7674576640129089
2025-02-27 16:01:44,41,0.01730671152472496,0.02263698261231184,9.774544715881348,130.3378143310547,0.718908429145813
2025-02-27 16:01:44,42,0.016720374789217424,0.021742583718150854,9.492840766906738,139.515380859375,0.6991157531738281
2025-02-27 16:01:45,43,0.016804521357447935,0.021861977875232697,10.370640754699707,154.00244140625,0.6678723692893982
2025-02-27 16:01:45,44,0.016903334457812638,0.021615736341724794,7.068382740020752,112.17994689941406,0.7580683827400208
2025-02-27 16:01:46,45,0.016706861105972325,0.020796446440120537,7.939918518066406,113.50325775146484,0.7552144527435303
2025-02-27 16:01:46,46,0.0167502169657884,0.020736980251967907,7.692264080047607,108.41080474853516,0.7661970257759094
2025-02-27 16:01:47,47,0.016393630701149332,0.02585571228216092,14.525303840637207,244.96847534179688,0.4716914892196655
